iteration,fracture,collapse_flag,perturbed_D1,perturbed_G1,perturbed_F2,perturbed_H3,perturbed_L2,perturbed_C2
0,62.21779932167417,1,7.538314034248493,-5.808611754749154,-8.733654197277115,1.7122158651501969,7.417918634265742,4.842997134649923
1,63.776595861148,1,8.458135021629351,-5.519623314731008,-5.798939366715713,1.6624632713459666,7.851575026021035,4.495692953621548
2,59.936377194587166,1,7.76044522718488,-4.268341102365607,-5.887121451752861,3.0693223766919155,7.063375335584938,4.542469094337938
3,61.027583454615666,1,7.72926539523916,-4.940064846227873,-7.409657657928192,2.7112973315028572,8.148973898652004,3.438616144589285
4,61.851645596594764,1,7.733899189345146,-5.221609689623104,-5.203155250484571,3.486267346160594,8.078855303772807,3.044310987133797
5,63.6375539561482,1,8.302896636959039,-5.590174199651003,-5.840621785368274,3.091298037348231,7.090027503167516,4.173419074133705
6,62.339882497169576,1,9.106319684734842,-4.192062325328073,-7.205425282798048,3.492181732738678,6.58367400891079,4.560754311585998
7,58.674964615466536,1,7.873906438188331,-3.575667036373631,-7.4547158847763235,2.576205162342661,7.985975409771997,4.650711976087775
8,63.37147505382952,1,9.054062563061189,-4.736366036956271,-6.528114308438263,2.4898071085922417,7.603111768492324,4.341373969299741
9,62.78639302078604,1,8.504937130242263,-5.03487657415673,-7.904789146675537,3.0139374089451683,7.931492709447988,4.02701514816296
10,65.3951668573657,1,9.923461704049187,-4.939788969027608,-6.848408501041049,2.0154446954047187,7.0856128737373165,4.434006044020171
11,65.1088551138479,1,7.8940637479808204,-6.647838883474361,-4.546556779834685,3.158304369329232,7.209351547161563,4.4293993727192005
12,64.89071757515839,1,9.225938210920875,-5.417995675550179,-7.250454240233818,3.104224796553946,6.470452841181767,3.7042746246609144
13,61.13175945425709,1,6.6902960225768595,-5.912427099854207,-6.008459982656287,3.9885532746355836,7.5656566272317285,3.7173821747386233
14,65.08459277960242,1,10.0,-4.596533598682669,-6.510537981749892,3.0400829447459943,7.061285947317922,5.324424912056737
15,63.92703973692507,1,10.0,-4.045177514910958,-6.452171216868223,1.9431057330511143,8.704862830700629,4.171049724148043
16,68.00872397444138,1,9.845476068561098,-6.207237769850609,-5.256612337478997,2.863205622706929,7.273129160895564,4.15324053005626
17,69.41971899734631,1,9.490055741118164,-7.231597537798958,-5.107539122513572,3.070567035805133,7.732289378765439,4.068807103063689
18,65.76131135570164,1,9.928584478969853,-5.170952013676003,-8.175730101575358,2.4918822491960277,7.188150564887918,4.1180809915907135
19,70.6903267952511,1,10.0,-7.3685849457830646,-5.851476082972129,3.2533109106508564,7.272759803971861,4.856974405199063
20,64.96247990253828,1,8.203197661121767,-6.342761039320263,-5.958923713144834,2.4596918245918613,7.629523750950326,4.575333154144864
21,64.29036139780035,1,9.335943281313051,-4.814918954511341,-5.003429125353783,3.149611892268468,7.8365188637686405,3.9036676308324267
22,64.89891575777183,1,9.516022976813453,-5.07383033331384,-6.680372173005626,1.8518932108412343,7.5018244940151995,4.5187458433216525
23,59.911563725730026,1,7.421713795468565,-4.602559378109568,-5.311382237435857,3.0716851318029232,6.820724734644677,4.049146156725818
24,64.80011240835911,1,9.250012731645738,-5.148518208899339,-6.581447145558476,2.593741670557836,9.091924320255506,4.926286427434621
25,71.49567509641213,1,9.865857492559167,-8.03441312984643,-4.983898754059905,1.8783549206287038,7.117292518917019,2.9395898305236514
26,55.510856397402804,1,6.302624667640453,-3.51622093554163,-6.084523105521126,3.4831039025260786,7.003637593532062,4.329433519849362
27,63.44243687274256,1,8.85943271370734,-5.018314454860343,-6.041414044396475,2.8985801633624435,6.583580112011301,3.428679125094634
